SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Flood
COASTAL ANDHRA PRADESH,1985,42.7,0.4,1.7,7,17.9,105.1,198.6,179.3,88.6,248.2,32.6,45.5,967.6,No
COASTAL ANDHRA PRADESH,1986,32.6,25.9,2.2,26.6,44.1,101,106,336.2,95.3,124.4,111.9,3.7,1009.7,No
COASTAL ANDHRA PRADESH,1987,20.9,0.2,24,16.9,52.9,75.6,99.7,163.4,103.4,265,243.6,14.2,1079.9,No
COASTAL ANDHRA PRADESH,1988,0,16.7,2.3,38.4,69.6,68.2,313.4,269.8,277.5,78.6,5.8,24.6,1164.8,No
COASTAL ANDHRA PRADESH,1989,0.1,0.1,37.4,7.3,31.9,128.3,329.6,235.5,189.6,55.5,13.2,1.6,1030,No
COASTAL ANDHRA PRADESH,1990,10.3,81.1,84.5,24.2,507.7,107.4,102.5,223.2,158.5,248.7,58.9,4.3,1611.1,No
COASTAL ANDHRA PRADESH,1991,19.6,3.3,6.6,17.9,24.5,215.5,145.3,134.4,265.7,148.7,132.4,8.3,1122.1,No
COASTAL ANDHRA PRADESH,1992,13.1,4.3,0,9.1,45.5,75.6,208.4,207.2,145.8,147.5,144.4,0,1001,No
COASTAL ANDHRA PRADESH,1993,2.2,9.8,16.6,26.6,71.7,73.2,166.2,99.3,172.9,196.2,17.5,17.5,869.7,No
COASTAL ANDHRA PRADESH,1994,7.2,17.4,3.1,30.6,49.2,62.5,218.3,156.5,137,257.6,213.4,2.1,1155.1,No
COASTAL ANDHRA PRADESH,1995,27.5,2.5,12,19.8,257.8,80,225.3,212.7,128.6,329.6,50.1,6.1,1352,No
COASTAL ANDHRA PRADESH,1996,3.4,5.8,4.4,23.7,23.8,236.8,206.9,225.2,160.5,240,68.9,11.4,1210.9,No
COASTAL ANDHRA PRADESH,1997,15.1,5.6,19.7,62.6,25.2,63.1,156,128.1,315.5,83.6,51.7,45.7,972.1,No
COASTAL ANDHRA PRADESH,1998,12.6,35.7,24.7,38.9,33.6,136.2,214.1,252.2,255.5,178.6,128.6,0,1310.8,No
COASTAL ANDHRA PRADESH,1999,0.1,2.7,0.2,11,74.3,126.4,154.2,136.6,137.5,153.9,28.3,0,825.1,No
COASTAL ANDHRA PRADESH,2000,0.1,42.4,0.7,19.1,68.4,200.5,154.1,311.5,102.9,69.6,10.6,12.4,992.3,No
COASTAL ANDHRA PRADESH,2001,4.6,3.8,20,54.1,50.8,117.2,123,170.7,187.2,196,78,4.1,1009.3,No
COASTAL ANDHRA PRADESH,2002,28,0,7.3,34.8,35,115.2,74.7,173.5,71.7,148.7,14.3,0,703.2,No
